ISSUE_KEY,RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES_SEPARATED,CREATED_TIMESTAMP,COE_NAMES_SEPARATED_COPY,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,CASE WHEN HOUR_TO_COMPLETION IS NOT NULL AND HOUR_TO_COMPLETION <= RESOLUTION_TIME THEN TRUE ELSE FALSE END
NGF-1791,Fixed,Checklists,P4,Mar-21,Web,Nov-20,FC - Field Forms,Oct-20,Field Collaboration,,,336,FALSE
APOLLO-1,Done,BIM 360 Field Classic,,Mar-21,,Nov-20,WBP - Classic Products,Mar-20,Work Breakdown & Planning,,,5856,FALSE
SVN-1509,Fixed,,P4,Mar-21,Android,Nov-20,FC - Field Progress,May-20,Field Collaboration,,,3888,FALSE
ALEX-38911,Fixed,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,216,FALSE
PGVIEW-1752,Won't Fix,,,Mar-21,Web,Nov-20,CR - Docs Core,Jan-20,Construction Records,,,6624,FALSE
MBIM-11416,Done,,P4,Mar-21,Common Mobile,Nov-20,CR - Record Consumption,Apr-20,Construction Records,,,4968,FALSE
CS-41582,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Sep-20,Work Breakdown & Planning,,,1392,FALSE
AV2-1898,By Design,,P4,Mar-21,Web,Nov-20,CR - Record Consumption,Nov-20,Construction Records,,,120,FALSE
FORMS-5605,Done,,,Mar-21,Windows,Nov-20,FC - Field Forms,May-20,Field Collaboration,,,4032,FALSE
NGF-1827,Fixed,Checklists,P4,Mar-21,Web,Nov-20,FC - Field Forms,Oct-20,Field Collaboration,,,312,FALSE
SCCOM-6718,Fixed,,P4,Mar-21,Web,Nov-20,CS - Common Services,Oct-20,Common Services,,,912,FALSE
NGF-1776,Fixed,NGF Talentica,P4,Mar-21,Web,Nov-20,FC - Field Forms,Oct-20,Field Collaboration,,,672,FALSE
SCCOM-7319,By Design,,P4,Mar-21,Web,Nov-20,CS - Common Services,Nov-20,Common Services,,,168,FALSE
FORMS-6523,Fixed,,P4,Mar-21,iOS,Nov-20,FC - Field Forms,Sep-20,Field Collaboration,,,1488,FALSE
CS-41745,Fixed,BIM 360 Field Classic,P4,Mar-21,"Web,iOS",Nov-20,WBP - Classic Products,Sep-20,Work Breakdown & Planning,,,888,FALSE
BLMV-4700,Fixed,,P4,Mar-21,Web,Nov-20,CR - Record Consumption,Oct-20,Construction Records,,,456,FALSE
BUIS-13,Done,Issues,,Mar-21,"Web,    iOS,Android,Windows,Backend",Nov-20,FC - Field Progress,Jul-20,Field Collaboration,,,2832,FALSE
CS-42875,Fixed,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,408,FALSE
AV1-138,Won't Fix,,,Mar-21,Web,Nov-20,,Apr-20,,,,4536,FALSE
MBIM-11714,Done,BIM 360 Docs,P2,Mar-21,Android,Nov-20,CR - Record Consumption,Nov-20,Construction Records,,72,144,FALSE
MBIM-11536,Done,,P4,Mar-21,Android,Nov-20,CR - Record Consumption,Sep-20,Construction Records,,,1104,FALSE
SCCOM-7320,By Design,,P4,Mar-21,iOS,Nov-20,CS - Common Services,Nov-20,Common Services,,,264,FALSE
NGF-1922,Fixed,NGF Forms,P3,Mar-21,Web,Nov-20,FC - Field Forms,Nov-20,Field Collaboration,,360,360,TRUE
CS-41760,By Design,,P4,Mar-21,Web,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,936,FALSE
ACSC-341,Done,Cost,,Mar-21,Web,Nov-20,PC - Financials,Aug-20,Project Controls,,,2136,FALSE
KRAANG-4524,Fixed,,P4,Mar-21,Web,Nov-20,CR - Docs Core,Nov-20,Construction Records,,,0,FALSE
ACSD-3921,Done,Sheet Management,,Mar-21,Web,Nov-20,CR - Docs Core,Aug-20,Construction Records,,,2280,FALSE
NW-56017,Fixed,,,Mar-21,,Nov-20,B4C - Coordinate,Jul-20,BIM for Construction,,,2712,FALSE
SCCOM-6715,Won't Fix,,P4,Mar-21,Web,Nov-20,CS - Common Services,Oct-20,Common Services,,,672,FALSE
ACSC-99,Done,Cost,,Mar-21,Web,Nov-20,PC - Financials,Jul-20,Project Controls,,,3264,FALSE
SCCOM-6825,Fixed,,P4,Mar-21,Web,Nov-20,CS - Common Services,Oct-20,Common Services,,,720,FALSE
BUIS-25,Done,Issues,,Mar-21,"Web,    iOS,Android,Windows,Backend",Nov-20,FC - Field Progress,Jul-20,Field Collaboration,,,2832,FALSE
FORMS-6886,Fixed,,P4,Mar-21,iOS,Nov-20,FC - Field Forms,Nov-20,Field Collaboration,,,384,FALSE
